yi,vi,ID,Paper.Number,Experiment.Number,Effect.Size.Number,Paper.and.Exp,Paper,Publication.Year,DOI,Article.Title,Journal,Design,N_Total,N_Intervention,N_Control,Begin.Selection.Factors,Meta-analysis.Source,sample,Measure,task,sound,End.Selection.Factors,Begin.Selection.Numerics,IF,db,End.Selection.Numerics,sound_type,mean_C,var_C,mean_E,var_E,var_type,d,d_var,g,g_var,CI95_L,CI95_R,reference
-0.24908437140194703,0.013123145920817416,1,1,1,1,Sörqvist et al. (2010a),Sörqvist et al. (2010a),2010,not recorded,not recorded,Applied Cognitive Psychology,within,40,40,40,,"Vasilev, et al. (2018)",adults,num_correct,reading comprehension/ select word,speech,,,1.481,72.5,,native,11.55,2.24,10.58,2.93,SD,-0.3544255846484464,0.013646276867539754,-0.24908437140194703,0.013123145920817416,-0.47361471983932907,-0.024554022964564992,NA
0.006670169168255455,0.031588189210601476,2,2,1,1,Ljung et al. (2009),Ljung et al. (2009),2009,not recorded,not recorded,Noise and Health,between,186,116,70,,"Vasilev, et al. (2018)",children,prop_correct,select word,noise+speech,,,1.826,62,,NA,0.69,0.19,0.69,0.16499999999999998,SD,0.006645959812631663,0.03197179582717874,0.006670169168255455,0.031588189210601476,-0.34168193384168277,0.3550222721781937,NA
-0.41866765609867623,0.13778660498809275,3,3,1,1,Fogelson (1973),Fogelson (1973),1973,not recorded,not recorded,Perceptual and Motor Skills,between,28,14,14,,"Vasilev, et al. (2018)",children,num_correct,reading comprehension,music,,,0.618,NA,,popular,43.9,18.8,35.9,18.3,SD,-0.4312276857816365,0.1461778092318676,-0.41866765609867623,0.13778660498809275,-1.1462121713843438,0.3088768591869914,NA
-0.004308624021070361,0.026224824565088668,4,4,1,1,Tucker & Bushman (1991),Tucker & Bushman (1991),1991,not recorded,not recorded,Perceptual and Motor Skills,between,151,76,75,,"Vasilev, et al. (2018)",adults,num_correct,reading comprehension,music,,,0.618,80,,rock and roll,4.69,2.18,4.68,2.43,SD,-0.00433045826442038,0.026491290165767425,-0.004308624021070361,0.026224824565088668,-0.32171260327975043,0.31309535523760973,NA
-0.5155073438198882,0.08339169478388832,5,5,1,1,Daoussis & McKelvie (1986),Daoussis & McKelvie (1986),1986,not recorded,not recorded,Perceptual and Motor Skills,between,48,24,24,,"Vasilev, et al. (2018)",adults,num_correct,reading comprehension,music,,,0.618,50,,rock,9.14,3.55,7.6,2.16,SD,-0.524099132883553,0.08619458230301345,-0.5155073438198882,0.08339169478388832,-1.0815086995442234,0.05049401190444702,NA
-0.07649051869518661,0.015367829957425048,6,6,1,1,Etaugh & Michals (1975),Etaugh & Michals (1975),1975,not recorded,not recorded,Perceptual and Motor Skills,within,32,32,32,,"Vasilev, et al. (2018)",adults,num_correct,reading comprehension,music,,,0.618,NA,,preferred,7.6,NA,6.75,NA,NA,-0.1094011649613394,0.016145826349019694,-0.07649051869518661,0.015367829957425048,-0.3194659404243073,0.1664849030339341,NA
-0.7412808528148285,0.10293467830358319,7,7,1,1,Etaugh & Ptasnik (1982),Etaugh & Ptasnik (1982),1982,not recorded,not recorded,Perceptual and Motor Skills,between,40,20,20,,"Vasilev, et al. (2018)",adults,num_correct,reading comprehension,music,,,0.618,NA,,preferred,6.2,NA,4.8,NA,NA,-0.7563068160475614,0.10715000000000001,-0.7412808528148285,0.10293467830358319,-1.3701161732056644,-0.11244553242399269,NA
-0.6860542728801657,0.11276479898702121,8,8,1,1,Kiger (1989),Kiger (1989),1989,not recorded,not recorded,Perceptual and Motor Skills,between,36,18,18,,"Vasilev, et al. (2018)",children,num_correct,reading comprehension,music,,,0.618,NA,,high information load,12,0.4,11.6,0.7,SD,-0.7016464154456241,0.11794871794871796,-0.6860542728801657,0.11276479898702121,-1.3442314920153624,-0.02787705374496907,NA
-0.03797472587057172,0.04064988338355021,9,9,1,1,Miller & Schyb (1989),Miller & Schyb (1989),1989,not recorded,not recorded,Journal of Music Therapy,between,196,147,49,,"Vasilev, et al. (2018)",adults,num_correct,reading comprehension,music,,,0.786,47.5,,classical+pop+vocal,8.3,0.55,8.2,0.5833333333333334,SE,-0.038274526337970974,0.041294257227490284,-0.03797472587057172,0.04064988338355021,-0.43314632404818176,0.35719687230703834,NA
0.10365480776954619,0.009017686465383746,10,10,1,1,Doyle & Furnham (2012),Doyle & Furnham (2012),2012,not recorded,not recorded,Thinking Skills and Creativity,within,56,56,56,,"Vasilev, et al. (2018)",adults,num_correct,reading comprehension,music,,,1.022,NA,,vocal,4.825,2.74,5.234999999999999,2.8449999999999998,SD,0.14664602299772317,0.00926991727894097,0.10365480776954619,0.009017686465383746,-0.08246973205639455,0.28977934759548696,NA
-0.2778382005194324,0.0016463394228057888,11,11,1,1,Anderson & Fuller (2010),Anderson & Fuller (2010),2010,not recorded,not recorded,School Psychology Quarterly,within,334,334,334,,"Vasilev, et al. (2018)",children,num_correct,reading comprehension,music,,,2.75,75,,lyrical,30.56,10.21,26.49,10.7,SD,-0.38856386755599076,0.0016537861050027933,-0.2778382005194324,0.0016463394228057888,-0.35736541301082253,-0.1983109880280423,NA
-0.8090904005175092,0.010933518948040904,12,12,1,1,Furnham & Strbac (2002),Furnham & Strbac (2002),2002,not recorded,not recorded,Ergonomics,within,76,76,76,,"Vasilev, et al. (2018)",children,num_correct,reading comprehension,noise+music,,,1.449,NA,,NA,23.93,3.12,19.505,4.067500000000001,SD,-1.1404257138368183,0.011156267433731337,-0.8090904005175092,0.010933518948040904,-1.014034798808348,-0.6041460022266705,NA
0.032498831061216205,0.012493845483166358,13,13,1,1,Mullikin & Henk (1985),Mullikin & Henk (1985),1985,not recorded,not recorded,Journal of Reading,within,45,45,45,,"Vasilev, et al. (2018)",children,num_correct,reading comprehension,music,,,0.171,NA,,classical+rock,8.428,1.4044,8.402000000000001,1.3465,SD,0.04613896173071827,0.012933478161234779,0.032498831061216205,0.012493845483166358,-0.18658187737321413,0.25157953949564654,NA
-1.7672395708047253,0.14069052313146863,14,14,1,1,Avila et al. (2011),Avila et al. (2011),2011,not recorded,not recorded,Psychology of Music,between,58,39,19,,"Vasilev, et al. (2018)",children,num_correct,reading comprehension,music,,,2.01,NA,,vocal+instrumental,13.42,0.5,7.945,0.8200000000000001,SE,-1.8046310500087652,0.14670476313597838,-1.7672395708047253,0.14069052313146863,-2.5024107846466777,-1.0320683569627729,NA
-0.04924905967758165,0.04683889391390428,15,15,1,1,Freeburne & Fleischer (1952),Freeburne & Fleischer (1952),1952,not recorded,not recorded,Journal of Educational Psychology,between,208,165,43,,"Vasilev, et al. (2018)",adults,num_correct,reading comprehension,music,,,3.256,NA,,various,13.4,5.81,13.09,7.029999999999999,SD,-0.04973227439081844,0.04771044047502231,-0.04924905967758165,0.04683889391390428,-0.47343804451765814,0.37493992516249486,NA
-0.4692030235257056,0.033014648362990964,16,16,1,1,Fendrick (1937),Fendrick (1937),1937,not recorded,not recorded,The Journal of Educational Research,between,123,62,61,,"Vasilev, et al. (2018)",adults,num_correct,reading comprehension,music,,,1.218,NA,,semi-classical,33.69,1.11,29.58,1.11,SE,-0.47213554242274125,0.033428621102230036,-0.4692030235257056,0.033014648362990964,-0.8253337202527163,-0.11307232679869483,NA
-0.5945085952287724,0.12111494000667625,17,17,1,1,Henderson et al. (1945),Henderson et al. (1945),1945,not recorded,not recorded,Journal of Applied Psychology,between,50,31,19,,"Vasilev, et al. (2018)",adults,num_correct,reading comprehension,music,,,3.81,NA,,classical+pop,49.2,NA,34.5,NA,NA,-0.6092379081226813,0.12699798523155204,-0.5945085952287724,0.12111494000667625,-1.2766194025978153,0.08760221214027042,NA
-0.3863500881417701,0.14374983193459492,18,18,1,1,Miller (2014),Miller (2014),2014,not recorded,not recorded,NA,between,72,59,13,,"Vasilev, et al. (2018)",adults,num_correct,reading comprehension,music,,,NA,NA,,classical+rock,15.077,2.139,14.18525,1.9894999999999998,SD,-0.39873993079848125,0.15282678565386473,-0.3863500881417701,0.14374983193459492,-1.1294714472480334,0.3567712709644931,NA
-0.03760280602699387,0.11880174319924229,19,19,1,1,Furnham & Allass (1999),Furnham & Allass (1999),1999,not recorded,not recorded,European Journal of Personality,between,48,32,16,,"Vasilev, et al. (2018)",adults,num_correct,reading comprehension,music,,,3.989,NA,,complex+simple,8,2.855,7.9075,1.83,SD,-0.03857529238976096,0.125026121094268,-0.03760280602699387,0.11880174319924229,-0.7131683296249711,0.6379627175709834,NA
-0.9661495560818704,0.20679178767674758,20,20,1,1,Furnham & Bradley (1997),Furnham & Bradley (1997),1997,not recorded,not recorded,Applied Cognitive Psychology,between,20,10,10,,"Vasilev, et al. (2018)",adults,num_correct,reading comprehension,music,,,1.481,NA,,pop,9.3,1.835,7.699999999999999,1.29,SD,-1.0087738012031293,0.22544061454984526,-0.9661495560818704,0.20679178767674758,-1.8574471110762691,-0.07485200108747148,NA
-0.09537708152177841,0.043409949227853864,21,21,1,1,Furnham at al. (1999),Furnham at al. (1999),1999,not recorded,not recorded,Personality and Individual Differences,between,139,96,43,,"Vasilev, et al. (2018)",children,num_correct,reading comprehension,music,,,1.946,NA,,vocal+instrumental,7.779999999999999,1.9,7.595000000000001,2.005,SD,-0.09618730522920577,0.044153217565588564,-0.09537708152177841,0.043409949227853864,-0.5037441479628951,0.31298998491933827,NA
-0.4906883748353282,0.02117819454392885,22,22,1,1,Perham & Currie (2014),Perham & Currie (2014),2014,not recorded,not recorded,Applied Cognitive Psychology,within,30,30,30,,"Vasilev, et al. (2018)",adults,prop_correct,reading comprehension,music,,,1.481,70,,lyrical+ non-lyrical,0.607869289468922,0.045594213004850004,0.42788264769445533,0.04657151137729434,SE,-0.7030335680296655,0.022327935494535957,-0.4906883748353282,0.02117819454392885,-0.7759218794590962,-0.20545487021156017,NA
-0.744547240731161,0.16095123612498327,23,23,1,1,Kelly (1994),Kelly (1994),1994,not recorded,not recorded,Southeastern Journal of Music Education,between,25,12,13,,"Vasilev, et al. (2018)",adults,num_correct,reading comprehension,music,,,NA,65,,pop,54.92,8.47,48.17,9.08,SD,-0.7699295330288142,0.17211223997300962,-0.744547240731161,0.16095123612498327,-1.5308743156165014,0.04177983415417952,NA
0.4558019360566885,0.07242539306742515,24,24,1,1,Dove (2009),Dove (2009),2009,not recorded,not recorded,NA,between,84,56,28,,"Vasilev, et al. (2018)",adults,num_correct,reading comprehension,music,,,NA,62.5,,sedative+stimulative,163.21428571428572,13.601081500726991,168.94642857142856,12.409730778645676,SD,0.4622519634537171,0.07448967146986757,0.4558019360566885,0.07242539306742515,-0.07167260362065031,0.9832764757340273,NA
-0.446640713680195,0.028653561087316582,25,25,1,1,Furnham et al. (1994),Furnham et al. (1994),1994,not recorded,not recorded,Applied Cognitive Psychology,within,20,20,20,,"Vasilev, et al. (2018)",adults,num_correct,reading comprehension,speech,,,1.481,NA,,TV drama,8.649999999999999,2.1149999999999998,7.199999999999999,2.3200000000000003,SD,-0.6491985647651668,0.031091103610369555,-0.446640713680195,0.028653561087316582,-0.7784170242767103,-0.11486440308367968,NA
0.24470121562671066,0.08836923535925263,26,26,1,1,Johansson (1983),Johansson (1983),1983,not recorded,not recorded,Ergonomics,between,66,44,22,,"Vasilev, et al. (2018)",children,prop_correct,select word,noise,,,1.449,59.2,,continuous+intermittent,96.55,4.38,97.53999999999999,3.495,SD,0.2491774573759798,0.09163182647732737,0.24470121562671066,0.08836923535925263,-0.3379472672135906,0.8273496984670119,NA
-0.27405771241755505,0.020293757634232648,27,27,1,1,Halin (2016),Halin (2016),2016,not recorded,not recorded,Frontiers in Psychology,within,28,28,28,,"Vasilev, et al. (2018)",adults,prop_correct,reading comprehension (easy font),speech+noise,,,2.463,60,,NA,0.512266197933391,0.029427738293887562,0.4535491882240045,0.027339103405307624,SE,-0.3934440138080619,0.0214814377916355,-0.27405771241755505,0.020293757634232648,-0.5532717867900123,0.0051563619549022666,NA
0.005102006923848476,0.016753206794041783,29,29,1,1,Cauchard et al. (2012),Cauchard et al. (2012),2012,not recorded,not recorded,Applied Cognitive Psychology,within,30,30,30,,"Vasilev, et al. (2018)",adults,prop_correct,reading comprehension,music+speech,,,1.481,65,,NA,0.87,0.03,0.865,0.03,SE,0.007309898330053133,0.017662720013648166,0.005102006923848476,0.016753206794041783,-0.24858898467812174,0.2587929985258187,NA
-0.4406239374832669,0.02458978697605146,30,30,1,1,Johansson et al. (2012),Johansson et al. (2012),2012,not recorded,not recorded,Psychology of Music,within,24,24,24,,"Vasilev, et al. (2018)",adults,prop_correct,reading comprehension,music+noise,,,2.01,65,,NA,62.5,24.5,45.333333333333336,28.8,SD,-0.6357952551666431,0.02629494136734015,-0.4406239374832669,0.02458978697605146,-0.7479741052840985,-0.13327376968243537,NA
-0.10450313826165562,0.013893234184082483,33,33,1,1,"Martin et al. (1988), Exp.1",Martin et al. (1988),1988,not recorded,not recorded,Journal of Memory and Language,within,36,36,36,,"Vasilev, et al. (2018)",adults,perc_correct,reading comprehension,music+speech+noise,,,5.218,82,,NA,72.1,NA,67.54,NA,NA,-0.14903754901603208,0.014512931318699051,-0.10450313826165562,0.013893234184082483,-0.3355274842548242,0.12652120773151293,NA
-0.027533262079897883,0.013701939864765141,34,33,2,1,"Martin et al. (1988), Exp.2",Martin et al. (1988),1988,not recorded,not recorded,Journal of Memory and Language,within,36,36,36,,"Vasilev, et al. (2018)",adults,perc_correct,reading comprehension,music,,,5.218,82,,vocal+instrumental,67,NA,64.5,NA,NA,-0.03926666667683886,0.014313104461890533,-0.027533262079897883,0.013701939864765141,-0.2569616216706027,0.20189509751080698,NA
