"","yi","vi","ID","Paper.Number","Experiment.Number","Effect.Size.Number","Paper.and.Exp","Paper","Publication.Year","DOI","Article.Title","Journal","Design","Total.N","N_Intervention","N_Control","Begin.Selection.Factors","sample","Measure","task","sound","End.Selection.Factors","Begin.Selection.Numerics","IF","db","End.Selection.Numerics","sound_type","mean_C","var_C","mean_E","var_E","var_type","d","d_var","g","g_var","CI95_L","CI95_R"
"1",-0.249084371401947,0.0131231459208174,1,1,1,1,"Sörqvist et al. (2010a)","Sörqvist et al. (2010a)",2010,"not recorded","not recorded","Applied Cognitive Psychology","within",40,40,40,"","adults","num_correct","reading comprehension/ select word","speech","","",1.481,72.5,"","native",11.55,2.24,10.58,2.93,"SD",-0.354425584648446,0.0136462768675398,-0.249084371401947,0.0131231459208174,-0.473614719839329,-0.024554022964565
"2",0.00667016916825545,0.0315881892106015,2,2,1,1,"Ljung et al. (2009)","Ljung et al. (2009)",2009,"not recorded","not recorded","Noise and Health","between",186,116,70,"","children","prop_correct","select word","noise+speech","","",1.826,62,"",NA,0.69,0.19,0.69,0.165,"SD",0.00664595981263166,0.0319717958271787,0.00667016916825545,0.0315881892106015,-0.341681933841683,0.355022272178194
"7",-0.418667656098676,0.137786604988093,3,3,1,1,"Fogelson (1973)","Fogelson (1973)",1973,"not recorded","not recorded","Perceptual and Motor Skills","between",28,14,14,"","children","num_correct","reading comprehension","music","","",0.618,NA,"","popular",43.9,18.8,35.9,18.3,"SD",-0.431227685781637,0.146177809231868,-0.418667656098676,0.137786604988093,-1.14621217138434,0.308876859186991
"8",-0.00430862402107036,0.0262248245650887,4,4,1,1,"Tucker & Bushman (1991)","Tucker & Bushman (1991)",1991,"not recorded","not recorded","Perceptual and Motor Skills","between",151,76,75,"","adults","num_correct","reading comprehension","music","","",0.618,80,"","rock and roll",4.69,2.18,4.68,2.43,"SD",-0.00433045826442038,0.0264912901657674,-0.00430862402107036,0.0262248245650887,-0.32171260327975,0.31309535523761
"9",-0.515507343819888,0.0833916947838883,5,5,1,1,"Daoussis & McKelvie (1986)","Daoussis & McKelvie (1986)",1986,"not recorded","not recorded","Perceptual and Motor Skills","between",48,24,24,"","adults","num_correct","reading comprehension","music","","",0.618,50,"","rock",9.14,3.55,7.6,2.16,"SD",-0.524099132883553,0.0861945823030135,-0.515507343819888,0.0833916947838883,-1.08150869954422,0.050494011904447
"10",-0.0764905186951866,0.015367829957425,6,6,1,1,"Etaugh & Michals (1975)","Etaugh & Michals (1975)",1975,"not recorded","not recorded","Perceptual and Motor Skills","within",32,32,32,"","adults","num_correct","reading comprehension","music","","",0.618,NA,"","preferred",7.6,NA,6.75,NA,NA,-0.109401164961339,0.0161458263490197,-0.0764905186951866,0.015367829957425,-0.319465940424307,0.166484903033934
"11",-0.741280852814828,0.102934678303583,7,7,1,1,"Etaugh & Ptasnik (1982)","Etaugh & Ptasnik (1982)",1982,"not recorded","not recorded","Perceptual and Motor Skills","between",40,20,20,"","adults","num_correct","reading comprehension","music","","",0.618,NA,"","preferred",6.2,NA,4.8,NA,NA,-0.756306816047561,0.10715,-0.741280852814828,0.102934678303583,-1.37011617320566,-0.112445532423993
"13",-0.686054272880166,0.112764798987021,8,8,1,1,"Kiger (1989)","Kiger (1989)",1989,"not recorded","not recorded","Perceptual and Motor Skills","between",36,18,18,"","children","num_correct","reading comprehension","music","","",0.618,NA,"","high information load",12,0.4,11.6,0.7,"SD",-0.701646415445624,0.117948717948718,-0.686054272880166,0.112764798987021,-1.34423149201536,-0.0278770537449691
"12",-0.0379747258705717,0.0406498833835502,9,9,1,1,"Miller & Schyb (1989)","Miller & Schyb (1989)",1989,"not recorded","not recorded","Journal of Music Therapy","between",196,147,49,"","adults","num_correct","reading comprehension","music","","",0.786,47.5,"","classical+pop+vocal",8.3,0.55,8.2,0.583333333333333,"SE",-0.038274526337971,0.0412942572274903,-0.0379747258705717,0.0406498833835502,-0.433146324048182,0.357196872307038
"17",0.103654807769546,0.00901768646538375,10,10,1,1,"Doyle & Furnham (2012)","Doyle & Furnham (2012)",2012,"not recorded","not recorded","Thinking Skills and Creativity","within",56,56,56,"","adults","num_correct","reading comprehension","music","","",1.022,NA,"","vocal",4.825,2.74,5.235,2.845,"SD",0.146646022997723,0.00926991727894097,0.103654807769546,0.00901768646538375,-0.0824697320563945,0.289779347595487
